time_stamp,ref_moving_speed,ref_x,ref_y,ref_z,drone_x,drone_y,drone_z
0.03,0.1,0.0,0.004,1.0,0.0018722222435843025,-0.0027539008480994553,1.0087062012145354
0.07,0.1,0.0,0.008,1.0,0.0014595312355381918,-0.003165764248356462,1.008429029930435
0.10,0.1,0.0,0.011000000000000003,1.0,0.0010775755132678034,-0.0036815120988304972,1.008268910487885
0.13,0.1,0.0,0.014000000000000005,1.0,0.0006428643165411448,-0.004119283072223201,1.008149966513643
0.16,0.1,0.0,0.017000000000000008,1.0,0.00039972481918992077,-0.004653035128297844,1.008083519259979
0.19,0.1,0.0,0.02000000000000001,1.0,0.00031331788362666703,-0.00532664644887193,1.008155390798841
0.23,0.1,0.0,0.024000000000000014,1.0,0.00041601160606641053,-0.00570220524188203,1.0082086083115722
0.26,0.1,0.0,0.027000000000000017,1.0,0.00046737267351345933,-0.005983407085583314,1.007985309052846
0.29,0.1,0.0,0.03000000000000002,1.0,0.0007697451950279683,-0.006585720373141868,1.0082560926344508
0.32,0.1,0.0,0.03300000000000002,1.0,0.0011628119991505717,-0.006859767799648697,1.008082225035059
0.35,0.1,0.0,0.036000000000000025,1.0,0.0013776451878583366,-0.007340586642368585,1.0086210356269991
0.38,0.1,0.0,0.03900000000000003,1.0,0.0020134096245198983,-0.007440973645172377,1.0086949223254673
0.41,0.1,0.0,0.04200000000000003,1.0,0.0019626257233646017,-0.007563365851112058,1.0089284116530168
0.44,0.1,0.0,0.04500000000000003,1.0,0.0022025520270275356,-0.007559068966159765,1.009312063087209
0.48,0.1,0.0,0.04900000000000004,1.0,0.0023574877277947157,-0.007454114082912078,1.0096033626609884
0.51,0.1,0.0,0.05200000000000004,1.0,0.0024494259943978634,-0.00720620497617297,1.0098530007330841
0.55,0.1,0.0,0.05600000000000004,1.0,0.0024854635899255666,-0.00706741955862511,1.010074775321295
0.58,0.1,0.0,0.059000000000000045,1.0,0.0024296126921821235,-0.006622249349338194,1.0102056144906115
0.61,0.1,0.0,0.06200000000000005,1.0,0.0024329453092527043,-0.00586323300727587,1.0102961980911036
0.64,0.1,0.0,0.06500000000000004,1.0,0.00204140230947134,-0.005422594063178243,1.0106062836885574
0.67,0.1,0.0,0.06800000000000005,1.0,0.0018078592611174402,-0.004533995920536604,1.0106324053083706
0.69,0.1,0.0,0.07000000000000005,1.0,0.0014545605457255198,-0.003464877633366781,1.0106145885667084
0.73,0.1,0.0,0.07400000000000005,1.0,0.001150968397174688,-0.002240594381702321,1.0105745385453808
0.76,0.1,0.0,0.07700000000000005,1.0,0.0009611990732890048,-0.0006858033563359456,1.0104201164393998
0.80,0.1,0.0,0.08100000000000006,1.0,0.0005877761949733102,0.0005955054389904513,1.01052224018519
0.83,0.1,0.0,0.08400000000000006,1.0,0.0004028003641944793,0.0022841176581060996,1.010450923362987
0.87,0.1,0.0,0.08800000000000006,1.0,0.0002661971434436143,0.004221091085212292,1.010264200469027
