Time,Smoothed_Z_Speed,z_control
0.0,-0.021401545827781643,20
0.04,-0.002015455717327419,20
0.08,0.051947010596706256,20
0.12,0.1550029246981055,20
0.16,0.3010372547846557,20
0.2,0.46061965592945064,20
0.24,0.5969891187237092,20
0.28,0.686895533132148,20
0.32,0.7300906368805427,20
0.36,0.7429737884608545,20
0.4,0.7447534822434931,20
0.44,0.7472637979255958,20
0.48,0.7531890839118649,20
0.52,0.7601724541477173,20
0.56,0.7657033899726551,20
0.6,0.7694839151921651,20
0.64,0.7729898873077512,20
0.68,0.7776918145268041,20
0.72,0.7835275621386029,20
0.76,0.7886557944978612,20
0.8,0.7908233741683646,20
0.84,0.7897246368750943,20
0.88,0.7886098472982328,20
0.92,0.7929244830181148,20
0.96,0.8050588571782369,20
1.0,0.8176985940116788,0
1.04,0.8117159729738699,0
1.08,0.7636819813175211,0
1.12,0.6608578880766658,0
1.16,0.513199482590937,0
1.2,0.3516986184777582,0
1.24,0.21265994524581888,0
1.28,0.11914319359562775,0
1.32,0.07250428007903875,0
1.36,0.05777244309504437,0
1.4,0.05612775053199237,0
1.44,0.0548950360847511,0
1.48,0.050218607763585776,0
1.52,0.04388352591542244,0
1.56,0.03871962479668478,0
1.6,0.0359665352006211,0
1.64,0.03512849827746467,0
1.68,0.03491765818406378,0
1.72,0.033956839851240206,0
1.76,0.031047022037156147,0
1.8,0.025581844557298616,0
1.84,0.018502613770476906,0
1.88,0.013143385276603858,0
1.92,0.014191677525748903,0
1.96,0.023362590991643506,0
2.0,0.03334429880799683,-20
2.04,0.025410896798166993,-20
2.08,-0.023807490956773147,-20
2.12,-0.12755128447458075,-20
2.16,-0.2762957281309264,-20
2.2,-0.438808847230443,-20
2.24,-0.578216096734141,-20
2.28,-0.6714652454234193,-20
2.32,-0.7180690702825898,-20
2.36,-0.7339489197969618,-20
2.4,-0.7379923067549088,-20
2.44,-0.74203126126966,-20
2.48,-0.749069637634231,-20
2.52,-0.7572189718951683,-20
2.56,-0.7641729839381273,-20
2.6,-0.7691867282966725,-20
2.64,-0.7726311077382864,-20
2.68,-0.7745907660079043,-20
2.72,-0.7738604831958484,-20
2.76,-0.7682127896780799,-20
2.8,-0.7561355479415777,-20
2.84,-0.7390875983384559,-20
2.88,-0.7222402391254101,-20
2.92,-0.7118217442817598,-20
2.96,-0.7092104160748097,-20
3.0,-0.7052776482473572,0
3.04,-0.6807864263896096,0
3.08,-0.616222758904944,0
3.12,-0.506510829463569,0
3.16,-0.36904959604512344,0
3.2,-0.2364495305746589,0
3.24,-0.1380725021114526,0
3.28,-0.08463458408788926,0
