Time,Smoothed_YAW_Speed,yaw_control
0.0,-0.07287327179852937,100
0.04,-0.05796306761115134,100
0.08,-0.008423988069438532,100
0.12,0.09171978416877176,100
0.16,0.2551297637920306,100
0.2,0.4834976439066869,100
0.24,0.7640934888345116,100
0.28,1.072453027794316,100
0.32,1.3794453561448363,100
0.36,1.659214264939254,100
0.4,1.895021524600144,100
0.44,2.0814388381302833,100
0.48,2.2227856259522447,100
0.52,2.3289031748335813,100
0.56,2.4101161371680777,100
0.6,2.4734411139758437,100
0.64,2.521568764695023,100
0.68,2.554792447870269,100
0.72,2.5743186347065072,100
0.76,2.5844145884243495,100
0.8,2.591788033756015,100
0.84,2.602942380281209,100
0.88,2.6216702330044694,100
0.92,2.647906695055924,100
0.96,2.677300657764825,100
1.0,2.700486962999904,0
1.04,2.702460480867197,0
1.08,2.6637526655023667,0
1.12,2.5646909902014845,0
1.16,2.3921112626271834,0
1.2,2.1458591183138642,0
1.24,1.841712366050896,0
1.28,1.5087099035354656,0
1.32,1.181560664988468,0
1.36,0.8911362201912132,0
1.4,0.6568409610900661,0
1.44,0.48368932852248525,0
1.48,0.36456404975527823,0
1.52,0.28561108978683025,0
1.56,0.23181870261855808,0
1.6,0.19089174124542474,0
1.64,0.15503708251436432,0
1.68,0.12098680998612332,0
1.72,0.0887733724553752,0
1.76,0.0600545514512274,0
1.8,0.036977342942712266,0
1.84,0.021988414817675217,0
1.88,0.017793086281536752,0
1.92,0.026135777310265507,0
1.96,0.04501963389932362,0
2.0,0.06559084326692721,-100
2.04,0.07086518654718654,-100
2.08,0.03815519486451979,-100
2.12,-0.05453191323075979,-100
2.16,-0.22023981148444616,-100
2.2,-0.45688683463941393,-100
2.24,-0.7466197239168859,-100
2.28,-1.0611707217015987,-100
2.32,-1.370385835518917,-100
2.36,-1.649988455481588,-100
2.4,-1.886035451889978,-100
2.44,-2.0755193183106035,-100
2.48,-2.2236985165549727,-100
2.52,-2.3393634206953284,-100
2.56,-2.429959126567388,-100
2.6,-2.49877074055036,-100
2.64,-2.5455362788849576,-100
2.68,-2.5699570414953574,-100
2.72,-2.5755592251563875,-100
2.76,-2.57086501677774,-100
2.8,-2.5667955086082492,-100
2.84,-2.572211374959954,-100
2.88,-2.5906808542200843,-100
2.92,-2.619794734064787,-100
2.96,-2.65177256727481,-100
3.0,-2.67388839272184,0
3.04,-2.669208045185073,0
3.08,-2.619100915208672,0
3.12,-2.5078476622412764,0
3.16,-2.3280694966975863,0
3.2,-2.084713203445891,0
3.24,-1.795287706408203,0
3.28,-1.4855985629319368,0
3.32,-1.1827683967455458,0
3.36,-0.9087996346997619,0
3.4,-0.6771513040523708,0
3.44,-0.49267201433791313,0
3.48,-0.35354512874721766,0
3.52,-0.25367037231755113,0
3.56,-0.1847696322170867,0
3.6,-0.13830287473355454,0
3.64,-0.10718491528893749,0
3.68,-0.08668129892938267,0
3.72,-0.07391755786924271,0
3.76,-0.06652305521571665,0
3.8,-0.06186095683416541,0
3.84,-0.057726093829932754,0
3.88,-0.05358013450775826,0
3.92,-0.050406948407171956,0
