epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.93946,0.84916,2.36753,1.03725,1,0.56714,0.995,0.85134,0.56801,2.28944,0.86265,0.00032,0.00032,0.00032
2,4.41848,0.6636,1.23852,0.92318,0.00333,1,0.92772,0.77261,0.63069,2.75332,0.90874,0.000656733,0.000656733,0.000656733
3,5.88637,0.6263,1.01489,0.90385,1,0.30617,0.82954,0.65473,0.76408,2.56326,0.93736,0.0009901,0.0009901,0.0009901
4,7.31733,0.60132,0.9564,0.91279,1,0.82023,0.94474,0.75828,0.646,1.82766,0.89001,0.0013201,0.0013201,0.0013201
5,8.76499,0.62155,0.92959,0.92748,1,0.96491,0.99457,0.86162,0.54005,1.51386,0.89338,0.00164674,0.00164674,0.00164674
6,10.2131,0.64858,0.9257,0.93786,0.95574,0.9697,0.98436,0.84806,0.62437,0.88021,0.94277,0.0019505,0.0019505,0.0019505
7,11.6471,0.61392,0.79717,0.94511,0.93094,0.81698,0.83654,0.73313,0.60962,1.00292,0.97377,0.0019406,0.0019406,0.0019406
8,13.0861,0.59897,0.73722,0.92345,0.95511,0.96715,0.98726,0.61872,1.09698,1.03173,1.60687,0.0019307,0.0019307,0.0019307
9,14.5083,0.5605,0.68078,0.90073,0.99613,1,0.995,0.86568,0.58439,0.7144,0.90796,0.0019208,0.0019208,0.0019208
10,15.9424,0.58465,0.64483,0.91773,0.99853,1,0.995,0.86452,0.57188,0.56141,0.93371,0.0019109,0.0019109,0.0019109
11,17.3856,0.59765,0.66061,0.91972,0.98296,1,0.9944,0.892,0.46573,0.52828,0.8991,0.001901,0.001901,0.001901
12,18.8332,0.55109,0.59471,0.92284,0.96746,0.98485,0.99357,0.85556,0.51357,0.565,0.91718,0.0018911,0.0018911,0.0018911
