epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.47294,0.90539,9.71378,0.66861,1.2633,1.16391,0.98846,0.96212,0.99395,0.86912,0,0,0,0,0.55302,9.2655,0.62132,0.66137,0.85995,0.000650794,0.000650794,0.000650794
2,9.2183,0.65032,8.13876,0.56035,0.52916,0.96144,0.78898,0.94944,0.92736,0.79037,0.04494,0.05618,0.00361,0.00042,0.57133,6.94761,0.36447,1.25148,0.86709,0.00131485,0.00131485,0.00131485
3,12.9358,0.61598,7.36082,0.49249,0.52761,0.94675,0.96138,0.99438,0.99351,0.85928,0.16133,0.16854,0.04528,0.00618,0.55655,5.92313,0.20754,0.6395,0.87744,0.00197627,0.00197627,0.00197627
4,16.6195,0.62643,6.31664,0.4745,0.52395,0.94803,0.97958,0.98876,0.99246,0.87115,0.37962,0.38764,0.1599,0.03328,0.53097,5.02404,0.12481,0.80858,0.85705,0.00198812,0.00198812,0.00198812
5,20.3076,0.59852,5.48674,0.4399,0.51575,0.95093,0.95171,0.94944,0.98785,0.90291,0.36363,0.35955,0.14389,0.02684,0.45135,5.54722,0.0983,1.39153,0.83448,0.00198416,0.00198416,0.00198416
6,24.0058,0.56182,4.82269,0.44354,0.45479,0.92629,0.93248,0.93098,0.97866,0.88842,0.70076,0.6236,0.5129,0.17523,0.45353,3.39514,0.10182,0.87871,0.84121,0.0019802,0.0019802,0.0019802
7,27.6991,0.53806,4.16466,0.43531,0.41984,0.91706,0.98103,1,0.99416,0.93048,0.73979,0.75281,0.60207,0.1583,0.39227,3.06482,0.11318,0.42193,0.80993,0.00197624,0.00197624,0.00197624
8,31.4209,0.52604,3.69945,0.43196,0.42762,0.92276,0.9992,0.99438,0.995,0.93651,0.91434,0.91011,0.91173,0.45224,0.37879,2.15972,0.12623,0.39066,0.81653,0.00197228,0.00197228,0.00197228
9,35.1286,0.53908,3.50452,0.44526,0.4189,0.93618,0.99578,1,0.995,0.91159,0.89676,0.89888,0.83173,0.38886,0.41399,2.04235,0.13658,0.38283,0.82691,0.00196832,0.00196832,0.00196832
10,38.7969,0.53401,3.41631,0.44788,0.41738,0.93082,0.9739,0.92697,0.98239,0.91608,0.94378,0.89888,0.94041,0.44055,0.39,2.13407,0.15048,0.55222,0.82378,0.00196436,0.00196436,0.00196436
11,42.4996,0.50982,3.22967,0.45723,0.40272,0.92303,0.97883,0.99438,0.99449,0.93868,0.9176,0.93258,0.9064,0.51081,0.36414,1.61488,0.16313,0.4538,0.81865,0.0019604,0.0019604,0.0019604
12,46.2001,0.47559,2.91357,0.43014,0.38688,0.90458,0.99322,1,0.995,0.94315,0.94855,0.95506,0.92654,0.54284,0.3556,1.91004,0.12718,0.32203,0.81259,0.00195644,0.00195644,0.00195644
13,49.9025,0.51326,2.97804,0.4341,0.39853,0.91946,0.99833,1,0.995,0.94664,0.91981,0.92135,0.87147,0.55423,0.3605,1.57134,0.14782,0.33516,0.81204,0.00195248,0.00195248,0.00195248
