epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.7922,2.35042,5.44516,1.35678,0.00306,0.91667,0.00865,0.00261,2.0986,4.13802,1.1675,0.00028,0.00028,0.00028
2,4.12344,1.71752,2.63954,1.1275,0.00278,0.83333,0.00816,0.00264,1.76109,4.05129,1.11405,0.000577129,0.000577129,0.000577129
3,5.4495,1.64528,2.15777,1.08568,0.0025,0.75,0.00379,0.0015,1.59658,4.0044,1.05329,0.000871288,0.000871288,0.000871288
4,6.75496,1.55544,1.83197,1.06313,0.00294,0.88333,0.00533,0.00254,1.65068,3.61739,1.12795,0.00116248,0.00116248,0.00116248
5,8.06175,1.52041,1.71935,1.02842,0.00328,0.98333,0.04442,0.02556,1.52699,2.73111,1.1028,0.0014507,0.0014507,0.0014507
6,9.36089,1.50175,1.60364,1.02008,0.01904,0.7,0.02042,0.01182,1.4327,12.8356,1.09566,0.00173595,0.00173595,0.00173595
7,10.6566,1.4868,1.46792,1.03229,1,0.68818,0.95569,0.54146,1.4576,1.79121,1.08738,0.0019406,0.0019406,0.0019406
8,11.9678,1.60317,1.40681,1.0614,0.96691,0.95,0.98058,0.54321,1.47483,1.40666,1.11668,0.0019307,0.0019307,0.0019307
9,13.2751,1.46559,1.29124,1.0142,0.96176,0.96667,0.99155,0.62108,1.34839,1.11016,1.04356,0.0019208,0.0019208,0.0019208
10,14.58,1.4913,1.29756,1.01326,1,0.9151,0.99202,0.47971,1.63719,1.15523,1.17427,0.0019109,0.0019109,0.0019109
11,15.8757,1.43294,1.14871,0.99858,0.97414,0.95,0.99013,0.54294,1.47877,0.90945,1.12414,0.001901,0.001901,0.001901
12,17.1722,1.42093,1.07914,0.99887,0.91678,0.98333,0.97243,0.59845,1.43288,0.86208,1.10525,0.0018911,0.0018911,0.0018911
13,18.4701,1.36941,1.00919,1.00553,0.99882,1,0.995,0.47986,1.67291,0.84044,1.17971,0.0018812,0.0018812,0.0018812
14,19.7724,1.4132,0.97218,0.99738,0.99542,1,0.995,0.4496,1.68195,1.04327,1.18434,0.0018713,0.0018713,0.0018713
15,21.0726,1.37409,0.94158,0.99654,0.99928,0.96667,0.99032,0.5992,1.33774,0.82068,1.03547,0.0018614,0.0018614,0.0018614
16,22.3688,1.36331,0.92187,1.01496,0.98225,1,0.995,0.55766,1.46226,0.85359,1.09745,0.0018515,0.0018515,0.0018515
17,23.6624,1.3347,0.87424,0.97357,0.98299,1,0.99484,0.57996,1.36757,0.75805,1.06865,0.0018416,0.0018416,0.0018416
18,24.9607,1.34249,0.86908,0.97786,1,0.99835,0.995,0.57823,1.41246,0.71484,1.07084,0.0018317,0.0018317,0.0018317
19,26.2579,1.3026,0.81226,0.97607,1,0.99936,0.995,0.47348,1.75129,0.71131,1.18147,0.0018218,0.0018218,0.0018218
20,27.5505,1.31052,0.81733,0.96993,0.99786,0.98333,0.99468,0.55022,1.4929,0.65695,1.06572,0.0018119,0.0018119,0.0018119
21,28.8503,1.34185,0.79501,0.99216,0.99723,1,0.995,0.63977,1.32041,0.60096,1.02734,0.001802,0.001802,0.001802
22,30.1619,1.38149,0.79652,0.98511,0.98305,1,0.99238,0.53688,1.51662,0.6689,1.05611,0.0017921,0.0017921,0.0017921
23,31.4513,1.27091,0.74772,0.95874,0.9758,1,0.99451,0.60518,1.42265,0.71629,1.06923,0.0017822,0.0017822,0.0017822
24,32.752,1.3169,0.77644,0.9875,1,0.99615,0.995,0.62015,1.35627,0.6286,1.04193,0.0017723,0.0017723,0.0017723
25,34.0443,1.25531,0.72105,0.96826,1,0.9968,0.995,0.56791,1.48514,0.70896,1.0804,0.0017624,0.0017624,0.0017624
26,35.3454,1.24759,0.728,0.96413,0.9959,1,0.995,0.58126,1.38933,0.65615,1.04887,0.0017525,0.0017525,0.0017525
27,36.6519,1.17828,0.67401,0.95725,0.99721,1,0.995,0.61079,1.39161,0.58905,1.04647,0.0017426,0.0017426,0.0017426
28,37.9532,1.24492,0.69238,0.95807,0.99318,1,0.995,0.58333,1.45518,0.65973,1.0591,0.0017327,0.0017327,0.0017327
