epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.21637,2.40015,9.62806,0.71226,3.67496,1.58714,0.92335,0.96862,0.98323,0.60508,0,0,0,0,1.39242,9.27721,0.64034,1.31838,1.09853,0.000653333,0.000653333,0.000653333
2,10.5658,1.44085,6.97899,0.64379,0.85113,1.06701,0.95391,0.9799,0.99153,0.68485,0.35787,0.38191,0.16867,0.02825,1.08238,5.26902,0.55276,0.6941,0.99783,0.00131739,0.00131739,0.00131739
3,14.8861,1.31719,5.1518,0.49722,0.77455,1.02838,0.96523,0.98995,0.98947,0.61263,0.25094,0.26131,0.07317,0.00937,1.30466,5.29765,0.33196,1.36988,1.01998,0.0019788,0.0019788,0.0019788
4,19.2011,1.21449,4.17765,0.34118,0.74805,1.00068,0.9886,0.98995,0.99475,0.73754,0.48499,0.49246,0.30288,0.07332,0.94974,4.25867,0.17988,0.94369,0.94059,0.00198812,0.00198812,0.00198812
5,23.5281,1.12574,3.38577,0.26932,0.68323,0.95776,0.98986,0.98995,0.99451,0.72849,0.81923,0.82412,0.74156,0.31392,0.96926,2.83521,0.11993,0.62782,0.92113,0.00198416,0.00198416,0.00198416
6,27.8618,1.05028,3.02682,0.24948,0.63737,0.94717,0.99416,1,0.995,0.69318,0.80604,0.81407,0.71766,0.34587,0.94605,2.40688,0.08386,0.83147,0.9249,0.0019802,0.0019802,0.0019802
7,32.1621,1.09096,2.63446,0.23571,0.62196,0.953,0.99497,0.99452,0.99495,0.7331,0.82477,0.83417,0.79016,0.50046,0.99142,2.02569,0.07152,0.55605,0.91469,0.00197624,0.00197624,0.00197624
8,36.4963,1.0241,2.54597,0.21774,0.58714,0.9389,0.99754,0.99497,0.995,0.74248,0.83744,0.82838,0.74607,0.45352,0.87369,2.03842,0.06006,0.53668,0.88462,0.00197228,0.00197228,0.00197228
9,40.8337,0.96011,2.31141,0.19057,0.56262,0.91869,0.99328,1,0.99495,0.78288,0.84944,0.85427,0.80021,0.46291,0.79947,1.99653,0.04555,0.47982,0.86889,0.00196832,0.00196832,0.00196832
10,45.1481,0.95243,2.24046,0.20605,0.55232,0.92193,0.99975,0.99497,0.995,0.77951,0.87344,0.86935,0.83278,0.50313,0.79761,1.84309,0.04465,0.47773,0.8757,0.00196436,0.00196436,0.00196436
11,49.4667,0.91622,2.15122,0.22045,0.53726,0.90249,0.99954,1,0.995,0.79127,0.90949,0.90955,0.88475,0.5725,0.79777,1.63153,0.04663,0.47543,0.87597,0.0019604,0.0019604,0.0019604
12,53.7975,0.92828,1.99568,0.20675,0.52393,0.90459,0.99955,1,0.995,0.77679,0.94921,0.94975,0.92552,0.60165,0.88141,1.52313,0.04164,0.49185,0.89895,0.00195644,0.00195644,0.00195644
13,58.1283,0.90055,1.90784,0.20201,0.51668,0.90452,0.99584,1,0.995,0.80626,0.92068,0.92462,0.8691,0.54424,0.74434,1.50478,0.0395,0.46178,0.87574,0.00195248,0.00195248,0.00195248
14,62.4581,0.85602,1.62689,0.19102,0.49868,0.89638,0.99489,1,0.995,0.78701,0.92987,0.93467,0.912,0.58976,0.87745,1.53602,0.03522,0.48387,0.90551,0.00194852,0.00194852,0.00194852
15,66.7953,0.84913,1.59029,0.17354,0.49223,0.883,1,0.99433,0.995,0.82216,0.93877,0.92965,0.92493,0.69902,0.80895,1.30356,0.04022,0.48165,0.8715,0.00194456,0.00194456,0.00194456
16,71.1346,0.88799,1.52974,0.19492,0.52064,0.90242,0.99881,1,0.995,0.75072,0.96368,0.96482,0.94166,0.66317,0.86438,1.15928,0.03493,0.52156,0.89667,0.0019406,0.0019406,0.0019406
17,75.447,0.8942,1.38353,0.19631,0.50995,0.88793,0.99439,1,0.995,0.83776,0.9494,0.95477,0.96034,0.71919,0.68951,1.22089,0.03758,0.44214,0.8427,0.00193664,0.00193664,0.00193664
18,79.7868,0.87976,1.43023,0.20509,0.50077,0.90427,0.99489,1,0.995,0.83731,0.97488,0.9799,0.96946,0.70539,0.73725,1.08865,0.03763,0.42442,0.86027,0.00193268,0.00193268,0.00193268
19,84.1184,0.86693,1.24882,0.19391,0.49008,0.891,0.99984,1,0.995,0.80976,0.97471,0.97487,0.97241,0.70224,0.77224,1.11187,0.03739,0.44742,0.86118,0.00192872,0.00192872,0.00192872
20,88.4697,0.82861,1.27478,0.20265,0.48089,0.88134,0.99964,1,0.995,0.82671,0.95946,0.9598,0.94133,0.71545,0.69457,1.02294,0.04089,0.41103,0.85175,0.00192476,0.00192476,0.00192476
21,92.8188,0.82174,1.42305,0.18525,0.47624,0.88953,0.99955,1,0.995,0.79914,0.95434,0.95477,0.93061,0.63305,0.76838,1.26994,0.03567,0.45468,0.85656,0.0019208,0.0019208,0.0019208
22,97.1575,0.83767,1.27457,0.19324,0.47183,0.88603,0.99906,1,0.995,0.81182,0.94886,0.94975,0.91542,0.65309,0.74602,1.06337,0.03916,0.46863,0.84851,0.00191684,0.00191684,0.00191684
23,101.503,0.78606,1.20303,0.20556,0.45463,0.87719,0.99887,1,0.995,0.84313,0.97378,0.97487,0.96127,0.65232,0.65746,1.21622,0.04444,0.4114,0.84074,0.00191288,0.00191288,0.00191288
24,105.824,0.76424,1.17292,0.21533,0.44258,0.87325,0.99972,1,0.995,0.80872,0.98966,0.98995,0.98588,0.72587,0.71791,1.04215,0.03899,0.41041,0.84526,0.00190892,0.00190892,0.00190892
25,110.167,0.80878,1.17498,0.16821,0.45354,0.87774,0.99979,1,0.995,0.83612,0.97968,0.9799,0.9697,0.66523,0.71228,1.0552,0.03969,0.41712,0.84504,0.00190496,0.00190496,0.00190496
26,114.5,0.80145,1.13442,0.18735,0.44973,0.87743,0.99964,1,0.995,0.81292,0.99462,0.99497,0.9941,0.75953,0.71937,0.89214,0.03825,0.3972,0.84569,0.001901,0.001901,0.001901
27,118.855,0.78446,1.15868,0.19012,0.45054,0.87457,0.9998,1,0.995,0.86636,0.97968,0.9799,0.97317,0.76989,0.65044,0.87542,0.04014,0.41601,0.83988,0.00189704,0.00189704,0.00189704
28,123.217,0.74801,1.09183,0.17242,0.43492,0.8648,0.99967,1,0.995,0.82225,0.97797,0.97487,0.97776,0.74388,0.72475,0.95557,0.04049,0.41887,0.8425,0.00189308,0.00189308,0.00189308
29,127.552,0.78067,1.09197,0.17189,0.43196,0.87811,0.99964,1,0.995,0.84539,0.97453,0.97487,0.98134,0.77883,0.67874,0.89478,0.03459,0.40201,0.83836,0.00188912,0.00188912,0.00188912
30,131.886,0.77538,1.13398,0.16536,0.43988,0.87707,0.9969,1,0.995,0.83368,0.98676,0.98995,0.986,0.75471,0.67256,0.831,0.03379,0.40056,0.8456,0.00188516,0.00188516,0.00188516
31,136.217,0.74976,1.22329,0.18407,0.44689,0.86698,0.99907,1,0.995,0.83536,0.97897,0.9799,0.9733,0.77062,0.70209,0.92578,0.03858,0.42577,0.85589,0.0018812,0.0018812,0.0018812
32,140.566,0.78023,1.02082,0.1701,0.4354,0.86452,0.9939,1,0.99495,0.76569,0.96393,0.96985,0.94716,0.65596,0.86818,1.08058,0.03338,0.48043,0.87778,0.00187724,0.00187724,0.00187724
33,144.906,0.82399,1.07892,0.17836,0.45151,0.88277,0.99964,1,0.995,0.86141,0.9695,0.96985,0.96859,0.78277,0.65557,0.88894,0.0421,0.38506,0.84418,0.00187328,0.00187328,0.00187328
34,149.261,0.74645,1.0417,0.15647,0.42107,0.86047,0.99952,1,0.995,0.85347,0.97943,0.9799,0.97585,0.77426,0.60187,0.81613,0.03821,0.36979,0.8326,0.00186932,0.00186932,0.00186932
35,153.592,0.73319,1.00731,0.15051,0.41054,0.86828,0.99944,1,0.995,0.86208,0.98497,0.98995,0.9893,0.81142,0.67241,0.84494,0.03332,0.36354,0.85538,0.00186536,0.00186536,0.00186536
36,157.944,0.72897,1.02396,0.13814,0.40572,0.85749,0.99428,1,0.99495,0.83137,0.97429,0.9799,0.97056,0.7084,0.65218,0.97598,0.03148,0.38054,0.84356,0.0018614,0.0018614,0.0018614
37,162.297,0.73105,1.00526,0.14463,0.41269,0.8692,0.99896,1,0.995,0.86596,0.98892,0.98995,0.98687,0.80122,0.65749,0.83015,0.03291,0.38436,0.85116,0.00185744,0.00185744,0.00185744
38,166.648,0.73211,0.9716,0.14828,0.41084,0.86631,0.9949,1,0.995,0.84587,0.97469,0.9799,0.97393,0.78929,0.6735,0.83646,0.03148,0.38359,0.84311,0.00185348,0.00185348,0.00185348
39,170.993,0.73317,0.91717,0.1326,0.4295,0.86278,0.99969,1,0.995,0.84901,0.97476,0.97487,0.97394,0.79063,0.65541,0.95393,0.02994,0.39542,0.84023,0.00184952,0.00184952,0.00184952
40,175.339,0.76347,1.00377,0.13539,0.43217,0.87431,0.99966,1,0.995,0.8354,0.98961,0.98995,0.99257,0.83349,0.66806,0.79545,0.02945,0.38261,0.83096,0.00184556,0.00184556,0.00184556
41,179.684,0.78078,1.0185,0.14372,0.43896,0.87312,0.99893,1,0.995,0.8502,0.9848,0.98995,0.98131,0.77099,0.67076,0.87025,0.03319,0.39094,0.84031,0.0018416,0.0018416,0.0018416
42,184.021,0.76383,1.00276,0.13659,0.42675,0.86185,0.99967,1,0.995,0.83633,0.98825,0.98492,0.99026,0.805,0.72598,0.88413,0.04043,0.39058,0.8479,0.00183764,0.00183764,0.00183764
43,188.37,0.73097,1.06849,0.13096,0.40539,0.85487,0.99952,1,0.995,0.84847,0.98445,0.98492,0.97745,0.77411,0.64875,0.82844,0.03553,0.37514,0.8267,0.00183368,0.00183368,0.00183368
44,192.71,0.71201,0.9557,0.11432,0.40132,0.85623,0.99925,1,0.995,0.86171,0.99925,1,0.995,0.82317,0.64947,0.74538,0.03111,0.36031,0.83111,0.00182972,0.00182972,0.00182972
45,197.076,0.73458,0.92185,0.10441,0.41344,0.86169,0.99969,1,0.995,0.85049,0.9796,0.9799,0.9774,0.81605,0.65965,0.83626,0.02774,0.3715,0.84627,0.00182576,0.00182576,0.00182576
46,201.422,0.7271,0.89945,0.10206,0.40873,0.85347,0.9997,1,0.995,0.85679,0.9796,0.9799,0.97945,0.80839,0.64113,0.78493,0.02501,0.39245,0.8362,0.0018218,0.0018218,0.0018218
47,205.78,0.71895,0.90497,0.10162,0.40842,0.85505,0.99955,1,0.995,0.81281,0.97848,0.97487,0.96584,0.78695,0.7492,0.87365,0.02376,0.38957,0.84629,0.00181784,0.00181784,0.00181784
48,210.134,0.72579,0.91789,0.09572,0.40557,0.85232,0.99834,1,0.995,0.8661,0.9647,0.96985,0.96538,0.78896,0.63753,0.8191,0.02212,0.37436,0.83592,0.00181388,0.00181388,0.00181388
49,214.489,0.72274,0.91557,0.09098,0.40955,0.85934,0.99965,1,0.995,0.87464,0.9896,0.98995,0.98795,0.79808,0.60478,0.80404,0.0206,0.35011,0.83168,0.00180992,0.00180992,0.00180992
50,218.839,0.689,0.98929,0.08814,0.39624,0.8575,0.99967,1,0.995,0.84653,0.98963,0.98995,0.98436,0.76635,0.65034,0.84472,0.02033,0.37744,0.85249,0.00180596,0.00180596,0.00180596
51,223.18,0.70145,0.89406,0.08921,0.391,0.85063,0.9997,1,0.995,0.86776,0.9595,0.9598,0.95791,0.80877,0.62934,0.88729,0.02031,0.34996,0.82992,0.001802,0.001802,0.001802
52,227.541,0.71504,0.92166,0.09622,0.40141,0.85349,0.99959,1,0.995,0.8642,0.97953,0.9799,0.98689,0.83094,0.64994,0.7853,0.01775,0.36656,0.83475,0.00179804,0.00179804,0.00179804
53,231.93,0.69222,0.91868,0.08706,0.38939,0.859,0.99969,1,0.995,0.84693,0.9897,0.98995,0.99051,0.81668,0.63573,0.74503,0.02139,0.36396,0.83213,0.00179408,0.00179408,0.00179408
54,236.267,0.73314,0.9141,0.07933,0.40954,0.84792,0.99963,1,0.995,0.86638,0.97953,0.9799,0.97477,0.7973,0.69386,0.86376,0.0148,0.37786,0.83651,0.00179012,0.00179012,0.00179012
55,240.61,0.70265,0.83352,0.08353,0.39212,0.85797,0.99967,1,0.995,0.86731,0.96952,0.96985,0.96416,0.82967,0.63691,0.77665,0.01592,0.3407,0.84164,0.00178616,0.00178616,0.00178616
56,244.955,0.67557,0.81187,0.06803,0.38019,0.85092,0.99961,1,0.995,0.86452,0.98454,0.98492,0.9877,0.82843,0.61995,0.77553,0.01641,0.33902,0.83241,0.0017822,0.0017822,0.0017822
57,249.315,0.69942,0.83199,0.08394,0.38828,0.8436,0.99969,1,0.995,0.86853,0.98481,0.98492,0.98656,0.82375,0.59118,0.71874,0.01594,0.33492,0.83081,0.00177824,0.00177824,0.00177824
58,253.676,0.69573,0.88098,0.08378,0.39075,0.85834,0.99965,1,0.995,0.86214,0.98961,0.98995,0.98487,0.81802,0.60889,0.68405,0.01389,0.34498,0.82681,0.00177428,0.00177428,0.00177428
59,258.019,0.66339,0.82325,0.06893,0.38056,0.84978,0.99467,1,0.995,0.86811,0.98967,0.99497,0.99172,0.86688,0.62181,0.66869,0.0187,0.3507,0.82934,0.00177032,0.00177032,0.00177032
60,262.399,0.67803,0.83644,0.07047,0.38886,0.84354,0.99467,1,0.99495,0.86324,0.96982,0.97487,0.97111,0.79482,0.60897,0.7921,0.01505,0.36051,0.83152,0.00176636,0.00176636,0.00176636
